"","Clr","Dedr","Age","Brt","Value"
"4",410188,135345,3.61,9.93,16.78
"5",171390,96675,3.81,8.81,15.17
"6",159255,128455,3.3,10.03,16.78
"7",318883,135345,3.87,9.83,15.17
"11",288342,119352,2.83,8.76,16.55
"12",160205,119352,2.77,8.93,16.65
"14",350819,119352,2.89,8.76,16.55
"15",490324,119352,2.83,8.93,16.65
"60",635781,58708,3.04,8.76,16.55
"61",326007,58708,3,8.76,16.55
"65",209159,45160,3.09,10.72,17.33
"66",658931,45160,3.09,10.72,17.33
"67",167017,45160,3.09,10.72,17.33
"78",168091,45160,2.3,10.51,16.51
"116",625793,45160,2.2,11.95,17.54
"117",3452020,45160,2.2,11.95,17.54
"118",106857,45160,2.2,11.95,17.54
"119",107320,45160,2.2,11.95,17.54
"120",677404,96772,2.2,11.95,17.54
"121",3503632,96772,2.2,11.95,17.54
"122",155541,96772,2.2,11.95,17.54
"123",677404,96772,2.2,11.95,17.54
"124",3433307,96772,2.2,11.95,17.54
"125",140409,96772,2.2,11.95,17.54
"128",104956,45160,2.4,10.51,16.51
"129",111412,51612,2.4,10.51,16.51
"130",111407,51612,2.4,10.51,16.51
"155",158932,96772,2.2,11.95,17.86
"169",197927,50000,3.09,8.76,16.55
"170",245815,50000,3.09,8.76,16.55
"171",182489,50000,3.09,8.76,16.55
"172",302424,50000,3.22,8.85,16.42
"179",614181,126180,2.56,10.51,16.65
"180",1072530,126180,2.48,10.51,16.61
"183",883260,126180,3.22,10.72,15.9
"262",722490,29960,1.95,8.34,16.01
"268",84347,44940,3.3,9.73,16.42
"381",85965,29960,1.95,8.16,16.01
"382",317060,29960,1.95,8.16,16.01
"383",162620,29960,1.95,8.16,16.01
"391",109094,37450,3.18,8.32,15.76
"409",166713,37450,3.22,8.32,15.76
"415",69706,37450,3.26,8.32,15.76
"435",309372,34745,3.3,8.92,16.51
"461",1813226,150000,3.22,10.17,15.89
"462",256906,150000,3.14,10.09,16.12
"486",212356,1e+05,2.3,10.63,17.63
"487",245266,1e+05,2.2,10.63,17.62
"494",215000,65000,2.4,11.23,17.22
"498",644653,5e+05,3.37,11.77,16.81
"513",269975,1e+05,2.83,9.88,16.52
"514",227420,1e+05,2.94,8.67,16.27
"520",2115162,1e+05,3.04,10.53,15.61
"524",533017,150000,2.89,10.52,17.11
"526",207291,1e+05,2.89,10,15.94
"528",797993,150000,2.89,10.49,17.11
"534",1270971,175000,2.3,11.43,16.94
"568",243859,150000,3.09,10.73,16.12
"571",130074,1e+05,3.09,8.26,15.61
"572",244082,1e+05,3.09,8.26,15.61
"575",671034,150000,2.83,9.79,16.3
"576",467985,1e+05,2.3,10.73,17.4
"587",203152,75000,3,9.74,15.8
"589",146782,1e+05,3.3,9.03,15.25
"590",192790,150000,2.77,9.75,16.45
"599",285620,150000,2.94,10.49,17.11
"607",478603,150000,2.77,10.06,16.45
"613",1054469,1e+05,3.09,10.53,15.61
"614",744353,1e+05,1.95,10.18,16.81
"623",416021,75000,3.09,9.91,16.64
"624",400064,75000,3.09,9.91,16.64
"641",196352,150000,3.09,11.25,14.73
"642",525184,150000,3,10.12,14.73
"643",228870,150000,3,10.12,14.73
"669",144105,1e+05,3.09,8.26,15.5
"676",430864,1e+05,3.04,10.01,15.5
"678",276133,75000,2.2,9.35,16.52
"679",152337,1e+05,2.94,9.88,16.12
"681",466282,75000,2.94,8.97,16.77
"702",1287747,1e+05,3.14,10.53,15.61
"709",297198,1e+05,1.79,10.2,16.91
"719",590740,1e+05,2.94,9.8,15.89
"720",168603,1e+05,3,9.73,15.76
"733",776082,175000,2.2,11.31,17.06
"745",5722474,5e+05,3.04,10.33,17.32
"746",338670,150000,3.3,10.34,15.2
"781",464806,2e+05,3.33,10.46,17.28
"783",2130007,175000,3.09,11.17,16.45
"830",203141,150000,2.89,10.06,16.45
"831",282571,150000,2.94,9.79,16.3
"836",355480,1e+05,3.14,10.73,15.89
"851",383819,250000,2.08,11.06,17.79
"852",132540,75000,3,8.97,16.77
"853",155925,75000,2.3,9.35,16.52
"854",534212,75000,2.3,9.35,16.52
"867",141283,75000,3.04,10.02,16.08
"873",565871,1e+05,2.2,11.05,17.38
"884",270800,1e+05,2.56,10,15.98
"886",144868,1e+05,2.56,10,15.98
"890",460000,2e+05,3.18,10.5,17.36
"891",235000,2e+05,3.83,9.7,16.3
"894",450000,2e+05,3.97,9.39,16.19
"930",2914599,150000,2.94,9.75,16.45
"931",403000,150000,2.94,10.06,16.45
"932",325536,65000,2.71,11.23,16.71
"934",506320,1e+05,2.08,11.29,16.91
"935",463341,1e+05,2.2,10.13,16.79
"936",857263,1e+05,2.64,10.63,16.95
"938",232750,1e+05,2.94,10.16,16.23
"961",110845,50000,2.77,10.51,16.38
"982",594710,1e+05,3.22,10.71,15.81
"983",134434,75000,3.14,10.49,15.54
"991",160278,75000,2.94,10.22,16.21
"1009",108392,51612,2.4,10.51,15.14
"1042",73494,40000,3.14,10.05,16.01
"1043",241834,40000,3.14,10.05,16.01
"1044",321321,175000,3.04,10.72,16.48
"1047",365327,70000,3.14,10.62,16.28
"1048",108593,70000,2.4,10.58,17.07
"1078",367125,150000,1.61,10.57,16.99
"1079",588914,150000,2.83,10.51,16.3
"1082",830105,1e+05,3.09,10.11,15.99
"1086",91517,50000,3.37,9.87,14.47
"1092",333370,250000,3.04,10.22,17.32
"1093",247016,1e+05,3.22,8.45,15.61
"1095",1199548,1e+05,3.26,11.4,17.58
"1102",236978,75000,3.18,10.5,16.12
"1103",219508,75000,3.18,10.5,16.12
"1113",128531,50000,1.95,10.57,17.03
"1126",280097,75000,3.14,9.67,15.16
"1127",280097,75000,3.14,9.67,15.16
"1131",298527,175000,2.94,11.33,16.45
"1133",86604,50000,2.64,10.29,16.99
"1135",240787,125000,2.77,10.63,17.03
"1144",184405,75000,3,9.75,15.79
"1145",280000,1e+05,1.61,10.31,16.72
"1157",269785,1e+05,2.71,11.4,17.07
"1160",133468,1e+05,1.95,10.59,16.47
"1171",349891,75000,2.77,10.11,16.12
"1172",201141,125000,3.37,9.95,16.12
"1176",232013,150000,2.4,11.25,16.42
"1177",370176,1e+05,2.94,10.27,16.12
"1205",390478,250000,3.04,10.17,15.76
"1206",514754,250000,2.2,10.17,16.45
"1218",302482,150000,3,10.06,16.45
"1262",1504926,135000,3.43,10.1,15.83
"1263",431751,135000,3.26,9.68,15.32
"1265",464154,1e+05,3,10.27,16.3
"1266",171250,70000,2.08,10.58,17.07
"1267",171250,70000,2.08,10.58,17.07
"1278",770000,1e+05,3.33,10.03,14.91
"1280",98313,50000,3.18,10.05,15.79
"1281",200011,99999,3.18,10.49,15.46
"1286",379850,175000,3.09,10.72,16.48
"1297",2114893,125000,1.79,10.63,17.03
"1300",277544,50000,3.09,8.97,16.77
