"","Time","Dedr","Age","Brt","Value","Claims"
"18",1,142709,1.95,9.62,18.07,0
"24",1,41311,2.48,7.9,16.56,0
"32",0.64,175162,2.77,11.37,17.12,0
"33",0.36,175162,2.77,11.37,16.84,0
"45",0.68,175162,2.83,11.37,16.84,0
"46",0.32,175162,2.83,11.37,16.84,0
"52",0.25,175162,2.89,11.37,16.84,0
"53",0.75,175162,2.89,11.37,16.75,0
"54",0.53,135345,3.04,10.1,16.78,0
"55",0.53,135345,3.09,10.03,16.78,0
"56",0.53,135345,3.26,10.03,16.78,1
"57",0.53,135345,3.76,9.94,16.78,0
"58",0.53,135345,3.37,10.03,16.78,0
"59",0.53,135345,3.37,10.03,16.78,0
"60",0.53,135345,3.5,10.09,16.78,0
"61",0.53,135345,3.53,10.09,16.78,0
"62",0.53,135345,3.61,9.93,16.78,1
"63",0.53,135345,3.69,9.87,16.78,0
"64",0.53,135345,3.64,9.79,16.78,0
"65",0.53,135345,3.69,10.43,16.27,0
"66",0.53,96675,3.81,8.81,15.17,1
"67",0.48,96675,3.83,9.75,15.17,0
"68",0.48,96675,3.95,9.65,15.17,0
"69",1,128455,3.09,10.1,16.78,0
"70",1,128455,3.14,10.03,16.78,0
"71",1,128455,3.3,10.03,16.78,1
"72",1,135345,3.78,9.94,16.78,0
"73",1,135345,3.4,10.03,16.78,0
"74",1,135345,3.4,10.03,16.78,0
"75",1,135345,3.53,10.09,16.78,0
"76",1,135345,3.56,10.09,16.78,0
"77",1,135345,3.64,9.93,16.78,0
"78",0.14,135345,3.71,9.87,16.78,0
"79",1,135345,3.66,9.79,16.78,0
"80",1,135345,3.71,10.43,16.27,0
"81",1,96675,3.83,8.81,15.17,0
"82",1,135345,3.85,9.75,15.17,0
"83",1,135345,3.97,9.65,15.17,0
"84",0.79,135345,3.87,9.83,15.17,1
"85",0.79,135345,3.69,9.3,15.17,0
"86",0.79,135345,3.09,9.92,15.86,0
"88",1.25,386700,3.81,9.94,16.78,0
"89",1.25,386700,3.69,9.79,16.78,0
"90",1.25,386700,3.66,9.93,16.78,0
"91",1.25,386700,3.58,10.09,16.78,0
"92",1.25,386700,3.56,10.09,16.78,0
"93",1.25,386700,3.43,10.09,16.78,0
"94",1.25,386700,3.43,10.03,16.78,0
"95",1.25,256909,3.33,10.03,16.78,0
"96",1.25,256909,3.18,10.03,16.78,0
"97",1.25,256909,3.14,10.1,16.78,0
"98",1.25,386700,3.74,10.43,16.27,0
"99",1.25,386700,3.14,9.92,15.86,0
"100",0.55,386700,3.87,9.75,15.17,0
"101",0.55,386700,3.99,9.65,15.17,0
"102",1.25,96675,3.85,8.81,15.17,0
"103",1.25,386700,3.89,9.83,15.17,0
